txn_id,account_id,product_id,buy_sell,units,unit_price,txn_date
15174c8c-bd1c-4444-aa54-7d3c40ba8025,1385,2,SELL,46.627,1.58,2023-12-09
7e866763-be40-4f04-89e1-fde4069558b8,2436,4,SELL,16.876,2.88,2024-01-20
cf19a83b-77f8-49b8-adc4-9dfa3e6eb036,1822,1,SELL,43.083,3.65,2024-08-25
1c4b1b59-b994-42cf-9008-e39c9ff97214,593,3,BUY,43.277,1.62,2025-09-22
28e6dc95-1554-400d-b709-09bec493e740,601,1,SELL,44.684,4.91,2025-08-20
e59d81c7-c710-40c6-9032-a72ce564fc74,2143,4,SELL,20.673,1.59,2024-07-05
a95e9875-ccf4-40b6-8637-b04c5d175de4,1888,2,BUY,31.633,4.59,2024-02-23
2362b9cf-fdaa-41dc-a225-fa0f7c15d145,177,4,SELL,6.782,4.78,2024-08-16
d84f3158-60c7-43ce-8b80-0be85fe671bf,2217,5,SELL,11.019,2.53,2024-04-11
6c5df469-b239-44d8-aad1-cdeff0b0a099,1384,1,BUY,47.024,3.41,2024-12-10
b6e380fd-cf27-4ce9-b714-6b38e99944fd,1940,5,SELL,16.771,1.76,2024-03-22
264ccbb1-13a0-473f-bd4b-10780ac8e924,2531,4,BUY,15.694,4.97,2025-01-17
c38521da-ed25-463d-aad1-39346e58fa86,2419,5,SELL,36.405,4.67,2024-07-12
0c8016cf-6e9e-4e0c-beb2-7f2d726c0cf4,909,1,SELL,11.83,1.17,2025-07-03
79a4bbcd-da62-4e01-8681-11c501e51591,2494,5,SELL,23.307,2.3,2024-08-07
031aac07-35ee-473e-888e-8de2e7020807,2472,5,BUY,12.121,3.73,2025-06-01
58a942f7-59d2-4753-9000-5bcf29642d7f,1942,5,SELL,43.807,2.61,2025-08-10
5a3cb3b9-27e2-4214-9b0b-f1ed3f7931ae,1415,2,BUY,3.267,2.65,2025-11-10
eb6588c9-f662-4a74-b457-161cf3c56104,551,4,BUY,33.734,2.63,2024-05-20
bff2ab75-4ee7-4c55-a2ef-d7d1c0a29c76,1005,3,SELL,12.752,3.07,2024-01-26
527d9889-077f-4d0e-aa74-3638ef794ec4,109,1,SELL,38.307,4.24,2025-03-30
0e650c98-5c90-4d06-8af1-6316acc362f2,1262,3,BUY,41.645,2.35,2025-09-29
6a95bad2-2c8c-4fdd-ad88-089fa8f581f0,2787,4,BUY,17.662,2.71,2024-12-26
1c105735-04be-44b8-b055-0942c08f6043,700,4,SELL,19.299,2.35,2025-08-11
c722ef9e-323f-4c9f-a5d2-d92ec233ab1d,850,4,SELL,38.611,3.19,2024-02-24
76662b27-ee74-4f9f-bc42-1db5caf4cb16,1560,2,SELL,21.393,3.6,2024-03-29
e3c35d15-448f-44b0-8b03-1f2e97c4d9e2,1525,2,BUY,10.438,4.06,2025-06-25
adf97d0e-f02c-4dcc-8426-b3deef23f561,1589,3,SELL,35.841,0.52,2024-08-24
1546c172-8522-47ea-8984-ccc82be5fae3,681,1,SELL,14.382,1.66,2024-01-14
22b10325-8e1e-491d-ac40-4a1ed0409e57,2340,3,SELL,32.837,1.9,2024-09-29
246deec5-ff3f-4172-91c0-cdeca2d6869f,321,4,SELL,14.816,1.23,2024-10-14
062642a8-7fdd-4bd0-baf7-5aaabbc47250,2616,1,SELL,1.253,4.29,2024-02-19
c8ab7fb3-eafe-42b3-8102-e376258e6a56,644,2,SELL,11.297,2.09,2025-10-25
1ae6ed68-fb61-414d-b4e7-46c740df02ab,250,2,SELL,41.693,2.4,2025-03-04
2bfee41a-9062-42e3-b6e9-985909bd0ebc,1522,5,SELL,23.347,1.68,2024-04-30
e4b86561-2a1c-4c1e-9fef-407cf25f4421,2621,1,SELL,25.422,4.47,2024-06-14
79d49a8c-cca1-489a-bd8d-f7e6d5d3a136,2484,4,SELL,11.373,4.06,2024-08-26
b75aaef7-50b6-4a93-9c8d-2e81c0295800,2102,3,SELL,11.594,1.07,2025-10-28
0edbbb4a-ea49-49f8-a4d7-b837f2649f37,574,3,SELL,6.991,1.93,2024-02-06
f01da643-7a1b-4f2f-acdf-e5106d0d82c2,1797,4,SELL,14.243,0.59,2025-07-11
164af2be-b4d4-40c9-907c-2ddb4d685f7f,2558,4,SELL,41.324,4.84,2025-09-18
215030f4-107f-4bd7-880c-1710b4aa7afa,932,4,SELL,17.384,0.55,2025-04-16
49be1065-3e03-4945-ab2f-d029732d9546,2121,2,SELL,48.415,4.53,2024-08-15
